postal_code,city,lat,long
11240,Alaigne,43.1016,2.0915
02240,Alaincourt,49.7655,3.3764
70210,Alaincourt,47.9419,6.1013
57590,Alaincourt-la-Côte,48.8992,6.3423
11290,Alairac,43.1849,2.2414
31420,Alan,43.2298,0.9394
20212,Alando,42.3064,9.2905
20167,Alata,41.9764,8.7421
07400,Alba-la-Romaine,44.5554,4.5985
81250,Alban,43.888,2.4612
48310,Albaret-le-Comtal,44.875,3.1269
48200,Albaret-Sainte-Marie,44.8896,3.2632
11360,Albas,43.0065,2.7341
46140,Albas,44.4683,1.2366
67220,Albé,48.3567,7.3184
82290,Albefeuille-Lagarde,44.0479,1.2619
73410,Albens,45.7879,5.9453
15300,Albepierre-Bredons,45.0764,2.8344
80301,Albert,50.0009,2.651
80303,Albert,50.0009,2.651
80300,Albert,50.0009,2.651
80302,Albert,50.0009,2.651
80309,Albert,50.0009,2.651
20224,Albertacce,42.327,8.9842
73201,Albertville,45.6745,6.3906
73206,Albertville,45.6745,6.3906
73202,Albertville,45.6745,6.3906
73276,Albertville,45.6745,6.3906
73204,Albertville,45.6745,6.3906
73200,Albertville,45.6745,6.3906
73209,Albertville,45.6745,6.3906
73208,Albertville,45.6745,6.3906
73205,Albertville,45.6745,6.3906
73207,Albertville,45.6745,6.3906
73203,Albertville,45.6745,6.3906
73277,Albertville,45.6745,6.3906
57670,Albestroff,48.9328,6.8559
81030,Albi,43.9298,2.148
81039,Albi,43.9298,2.148
81036,Albi,43.9298,2.148
81000,Albi,43.9298,2.148
81021,Albi,43.9298,2.148
81025,Albi,43.9298,2.148
81034,Albi,43.9298,2.148
81031,Albi,43.9298,2.148
81026,Albi,43.9298,2.148
81027,Albi,43.9298,2.148
81037,Albi,43.9298,2.148
81022,Albi,43.9298,2.148
81028,Albi,43.9298,2.148
81023,Albi,43.9298,2.148
81035,Albi,43.9298,2.148
81038,Albi,43.9298,2.148
81005,Albi,43.9298,2.148
81012,Albi,43.9298,2.148
81015,Albi,43.9298,2.148
81018,Albi,43.9298,2.148
81019,Albi,43.9298,2.148
81014,Albi,43.9298,2.148
81013,Albi,43.9298,2.148
81020,Albi,43.9298,2.148
81002,Albi,43.9298,2.148
